Title,Goal,January,February,March,April,May,June,July,August,September,October,November,December
"WM Total AUM",">= $100,000,000","$150,358,370.00","$150,080,183.00","$150,137,854.00","$141,951,999.00","$133,605,168.00","$128,956,244.00","$130,129,822.00","$121,815,773.00","","","",""
"WM Monthly Revenue",">= 62,500","59,194","74,331","67,896","56,626","67,603","107,151","65,411","","","","",""
"Firm Pipeline",">= 350,000","598,500","598,500","598,500","580,000","545,000","645,000","","","","","",""
"New Clients - 12 months",">= 0","1,109","969","890","811","741","714","652","646","657","","",""
"New Client Revenue",">= 0","3,677,287.04","3,603,629.8","3,351,046.25","2,931,527.54","2,707,020.72","2,557,079.92","1,449,292.64","1,393,476.17","1,524,717.63","","",""
"New Client Realization",">= 89%","","","","","","","","","","","",""
"Lost Clients - 12 Months",">= 0","1,202","1,886","1,663","1,054","935","928","","1,401","1,411","1,415","",""
"Lost Client Revenue",">= 0","-3,694,922.3","-4,555,927.2","-4,147,066.84","-3,123,216.14","-2,896,699.89","-2,810,909.43","","-222,235.58","-561,007.64","-784,399.77","",""
"Organic Growth",">= $0","$449,281.16","$1,561,267.41","$1,387,616.26","$815,552.47","$539,017.83","$768,800.64","","","","","",""
"Lost Client Realization",">= 0%","","","","","","","","","","","",""
